,Unnamed: 0,타입,검색어,영상,제목,업로더,조회수,업로드,구독자,유저,내용,좋아요,시각,commentMonth,commentYear,views,likes
27185,66,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              Nayde
            ",imagine how depressing it would be to celebrate your birthday with VR with a virtual cake and friends and then you take off your VR headset and realise you're actually all alone ...,"
    13K
  ",11 months ago (edited),1,0,5800000,13000
7416,7,4,metaverse violence,/watch?v=Ibm3WhfLk08,Metaverse VR: Demo Experience,/c/surrealentertainment,4.1M views,10 months ago,0,"
              Kadz
            ","If the Metaverse is anything like this masterpiece, I’m all for it.","
    11K
  ",10 months ago,1,0,4099999,11000
10812,156,4,metaverse violence,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Kuba L
            ",I love how Meta is literally the plot of an episode of Black Mirror.,"
    11K
  ",10 months ago,1,0,5800000,11000
22929,0,4,metaverse violence,/watch?v=BgCK98KudK0,The Metaverse is a Soulless platform,/c/MentalOutlaw,562K views,1 month ago,0,"
              Kodeb8
            ",Seeing the metaverse fail so horribly gives me hope for the future.,"
    10K
  ",1 month ago,1,0,562000,10000
27119,0,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              ZtxOne
            ","He recently got a firmware update, he's acting a bit more human, excellent job to the devs. Can't wait for the next update.","
    10K
  ",11 months ago,1,0,5800000,10000
17988,7,4,metaverse violence,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Aaron H
            ","Saying ""oh hey society is predicted to collapse in 18 years"" and following it up with ""the first 1000 fans to sign up with this link get a free month of skillshare!"" is some disconnected dystopian ish.","
    9.7K
  ",5 months ago,5,0,10000000,9700
7410,1,4,metaverse violence,/watch?v=Ibm3WhfLk08,Metaverse VR: Demo Experience,/c/surrealentertainment,4.1M views,10 months ago,0,"
              schmoyoho
            ","honestly, this makes the metaverse seem much more appealing, 10/10","
    9.6K
  ",10 months ago (edited),1,0,4099999,9600
27335,216,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              Holly James
            ","This really, really feels like an episode of Black Mirror…","
    9.3K
  ",11 months ago,1,0,5800000,9300
10674,18,4,metaverse violence,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              Alexa
            ","It's insane how the most poorly socialized, emotionally unavailable people of our society are setting the standards for human interaction.","
    9.3K
  ",9 months ago,9,0,5800000,9300
27226,107,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              Dan dookie
            ",Yo this is LITERALLY what every evil company in sci-fi movies do,"
    9K
  ",11 months ago,1,0,5800000,9000
7422,13,4,metaverse violence,/watch?v=Ibm3WhfLk08,Metaverse VR: Demo Experience,/c/surrealentertainment,4.1M views,10 months ago,0,"
              TayZonday
            ",I’m glad Facebook is making itself safer for humanity.,"
    8.8K
  ",10 months ago,1,0,4099999,8800
7409,0,4,metaverse violence,/watch?v=Ibm3WhfLk08,Metaverse VR: Demo Experience,/c/surrealentertainment,4.1M views,10 months ago,0,"
              surreal entertainment
            ","Before you watch:

- Watch in full screen
- Zoom out fully (it starts slightly zoomed in)
- Watch in 4k. If you don't, the quality will be a bit shitty because at any given moment you're just watching a section of the 4k video because it's just a 4k video mapped onto a sphere basically
- Use a stereo/surround speaker system, sounds should be fixed in 3d space when you rotate/look around which sounds epic

Hope you enjoy :)","
    8.7K
  ",10 months ago,1,0,4099999,8700
28222,1103,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              Herr Fuchs
            ",i'm excited when i'm walking through a flower field of ads on my daily commute,"
    8.5K
  ",11 months ago,1,0,5800000,8500
18030,49,4,metaverse violence,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              General Kenobi
            ","""So basically yeah the world is ending. Sponsored by Skillshare!""

This world has literally become a parody of itself at this point","
    8.4K
  ",10 months ago,1,0,10000000,8400
28260,1141,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              OUT OF DARTS
            ","Anyone else feel like Mark’s arms are robotic, like an algorithm?","
    7.1K
  ",11 months ago,1,0,5800000,7100
12989,13,4,metaverse violence,/watch?v=C8yE3FnLdyc,The Real Reason Facebook Wants A Metaverse,/c/GeographyHub,1.9M views,11 months ago,0,"
              deadasparagus
            ","No dystopian author of the past could have ever imagined a scenario so awful, so terrifying, yet so boring as the one we find ourselves in today.","
    7.1K
  ",11 months ago,1,0,1900000,7100
18018,37,4,metaverse violence,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Oliver Knabe
            ","""This video is brought to you by Skill, Share. Thanks to SkillShare you can [learn all of these cool things] which will be useless by 2040 according to MIT""","
    7K
  ",10 months ago (edited),1,0,10000000,7000
22930,1,4,metaverse violence,/watch?v=BgCK98KudK0,The Metaverse is a Soulless platform,/c/MentalOutlaw,562K views,1 month ago,0,"
              Mark Summers
            ",Irony bonus:  How can a company so completely obsessed with collecting data from its users be so clueless about what they actually want?,"
    6.8K
  ",1 month ago,1,0,562000,6800
17994,13,4,metaverse violence,/watch?v=kVOTPAxrrP4,MIT Has Predicted that Society Will Collapse in 2040 | Economics Explained,/c/EconomicsExplained,10M views,10 months ago,0,"
              Better Chapter
            ","""History doesn't repeat itself, but it often rhymes"" _x000D_
- Mark Twain","
    6.6K
  ",10 months ago,1,0,10000000,6600
13001,25,4,metaverse violence,/watch?v=C8yE3FnLdyc,The Real Reason Facebook Wants A Metaverse,/c/GeographyHub,1.9M views,11 months ago,0,"
              Brady
            ","""we're building THE Metaverse""
translation: we want to move the world to a platform we own, so we can essentially own the world","
    6.4K
  ",10 months ago (edited),1,0,1900000,6400
4313,12,4,metaverse violence,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              arip mk
            ",The world has literally started feeling like a sci-fi movie.,"
    6.1K
  ",10 months ago,1,0,4600000,6100
12995,19,4,metaverse violence,/watch?v=C8yE3FnLdyc,The Real Reason Facebook Wants A Metaverse,/c/GeographyHub,1.9M views,11 months ago,0,"
              Laura
            ","This seems like the kind of pet project that could totally bankrupt a company.

I'm really hoping that's what happens.","
    5.8K
  ",11 months ago,1,0,1900000,5800
10704,48,4,metaverse violence,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              JP2GiannaT
            ",I love how literally EVERYONE thinks this a bad idea.,"
    5.8K
  ",9 months ago,9,0,5800000,5800
40150,7,4,metaverse violence,/watch?v=jUfCr3hz9FE,Microsoft Just KILLED Zuck's Metaverse,/c/JohnCooganPlus,7.5M views,8 months ago,213K subscribers,"
              Mr. Oppenthunder
            ",When everyone switches to studio apartments so they can afford mansions and farms in the metaverse I'm going to buy all the real life mansions and farms.,"
    5.7K
  ",7 months ago,7,0,7500000,5700
4360,59,4,metaverse violence,/watch?v=rtLTZUaMSDQ,Trapped in the Metaverse: Here’s What 24 Hours in VR Feels Like | WSJ,/c/wsj,4.6M views,10 months ago,0,"
              Daniel Cai
            ",I don't want to be trapped in Facebookland. I just want to hang out with my friends in the real world and chill.,"
    5.6K
  ",10 months ago,1,0,4600000,5600
28500,1381,4,metaverse violence,/watch?v=gElfIo6uw4g,Everything Facebook revealed about the Metaverse in 11 minutes,/c/CNET,5.8M views,11 months ago,0,"
              Mental Outlaw
            ",who loaded the Italian speech files onto Zuck for this?  He can't stop moving his arms!,"
    5.6K
  ",11 months ago,1,0,5800000,5600
33896,1,4,metaverse violence,/watch?v=n8VEtlWzxTQ,Facebook/Meta's Failing Metaverse Is Costing Them Billions Of Dollars Per Quarter,/c/YongYea,410K views,5 months ago,0,"
              Mono Chaos
            ",It's almost as if the Metaverse was something that absolutely no one wanted,"
    5.6K
  ",5 months ago,5,0,410000,5600
10692,36,4,metaverse violence,/watch?v=bolyiGMcjBs,Why You Should Be Worried About Facebook's Metaverse | System Error,/c/VICENews,5.8M views,10 months ago,0,"
              world2tend
            ","I have stop using Facebook 6 years ago. The reason is, there is so much hate being spread around unnecessarily, making my life stressful. You guys should do it too.","
    5.4K
  ",9 months ago (edited),9,0,5800000,5400
